,A,B,C,G,R,X6,X8
165,15,830.31,729.76,61.88,3121,96.5396,0.248
166,15,874.4,739.75,56.62,4674,77.3641,0.2144
167,13,886.27,729.76,56.62,4629,87.5783,0.2468
168,14,877.89,729.76,56.62,5391,75.4591,0.2416
169,14,895.33,729.76,56.62,4463,74.9944,0.2443
170,13,909.07,829.72,61.24,1934,94.8811,0.2063
171,13,876.07,379.87,60.02,2420,85.0413,0.2075
172,15,870.32,739.75,60.02,3552,78.1532,0.2437
173,15,871.83,739.75,61.24,3598,93.552,0.2433
174,15,842.45,699.77,61.24,3601,86.3649,0.2158
175,14,883.9,699.77,52.19,5953,70.4519,0.2555
176,12,960.01,759.75,52.19,5737,80.7042,0.2431
177,13,916.47,749.75,57.16,4293,51.8519,0.1408
178,12,886.67,379.87,54.56,4987,43.8941,0.2392
179,11,896.48,759.75,54.56,4714,47.412,0.2519
180,11,896.8,759.75,57.16,5403,68.7396,0.2518
181,12,893.76,779.74,59.43,3607,93.7621,0.2448
182,12,850.63,729.76,59.43,3170,87.5079,0.2494
183,16,857.29,729.76,58.84,3873,74.4384,0.2474
184,15,891.58,759.75,58.84,2276,72.4956,0.2454
185,13,903.89,819.73,61.24,1286,96.3453,0.2498
186,13,883.46,759.75,61.24,1704,75.9977,0.2122
187,12,879.71,709.76,59.43,2392,62.1656,0.1776
188,12,903.89,789.74,58.84,2483,83.9307,0.2498
189,11,893.45,769.74,58.84,3049,84.4539,0.2099
190,12,883.58,769.74,60.63,2711,92.2538,0.2191
191,13,873.46,759.75,61.24,3210,93.1776,0.2504
192,14,869.41,759.75,59.43,2839,88.65799999999999,0.244
193,13,896.8,789.74,59.43,2690,90.9294,0.2518
194,12,896.58,769.74,60.02,3187,90.8378,0.244
195,12,878.46,759.75,56.62,3687,85.0827,0.249
196,12,863.54,739.75,56.62,3430,89.0962,0.2725
197,11,875.02,739.75,57.71,3301,95.4559,0.25
198,12,895.64,769.74,57.71,4127,73.0797,0.2442
