,A,B,C,G,R,X6,X8
1084,9,1142.12,1019.66,48.8,2159,88.05,0.2919
1085,9,1133.37,1049.65,50.86,793,88.2724,0.2941
1086,9,1142.12,1049.65,49.2,1105,86.6063,0.3283
1087,9,1141.22,1009.66,46.89,2162,68.9177,0.3505
1088,10,1118.03,979.67,46.17,3330,54.5946,0.2862
1089,8,1066.18,899.7,46.17,3546,87.084,0.2886
1090,8,1057.34,899.7,50.02,4591,96.7981,0.2546
1091,8,1127.12,979.67,49.2,3283,92.9333,0.2588
1092,9,1141.22,1019.66,49.2,1677,66.7859,0.3155
1093,9,1120.83,1009.66,50.44,2306,85.7762,0.3212
1094,8,1120.83,969.68,48.4,2625,80.6476,0.2855
1095,10,1130.02,969.68,48.02,2751,73.1007,0.3186
1096,10,1141.7,999.67,48.02,2933,92.1582,0.292
1097,9,1145.45,999.67,49.2,2122,97.2196,0.29100000000000004
1098,9,1149.62,1039.65,48.8,1912,91.5272,0.29
1099,8,1124.03,909.7,48.4,2900,84.6552,0.2847
1100,10,1131.29,909.7,48.02,2521,58.4689,0.1842
1101,8,1140.04,959.68,48.02,1925,77.7143,0.2924
1102,9,1122.13,959.68,48.8,3015,91.6418,0.2971
1103,8,1120.03,999.67,48.4,2883,87.8252,0.3214
1104,9,1088.87,969.68,48.4,3449,78.3995,0.3179
1105,8,1084.84,969.68,50.44,3193,89.6962,0.295
1106,9,1114.83,999.67,50.02,2194,96.3081,0.287
1107,9,1124.03,939.69,49.2,3201,78.538,0.2847
1108,8,1127.96,939.69,48.8,2697,77.1969,0.2955
1109,10,1148.78,1019.66,48.8,2384,76.2584,0.2902
1110,9,1133.62,1019.66,48.8,922,86.0087,0.3529
1111,8,1112.03,899.7,44.79,5170,68.2785,0.3237
1112,8,1149.62,969.68,44.79,5067,75.7253,0.29
1113,8,1132.42,979.67,48.4,2499,85.03399999999999,0.2826
1114,10,1104.83,979.67,50.44,2824,81.9759,0.2534
1115,8,1097.23,889.7,49.2,3447,75.0508,0.2917
1116,9,1116.03,889.7,47.26,5524,77.6973,0.2867
1117,8,1154.62,1009.66,47.63,2788,79.089,0.2887
1118,8,1158.36,1049.65,47.63,1941,77.6404,0.3237
1119,8,1129.62,1029.66,48.4,1202,87.0216,0.2951
1120,9,1121.63,1009.66,46.89,2877,88.3907,0.321
1121,9,1109.23,959.68,46.89,5307,86.5084,0.2524
1122,8,1116.29,959.68,48.4,4850,95.8763,0.2613
1123,8,1168.78,1009.66,48.4,3192,94.9875,0.2852
1124,8,1179.61,1059.65,48.4,2119,94.4313,0.2826
1125,8,1162.53,1069.64,48.4,1399,86.2759,0.2867
1126,9,1127.54,959.68,47.63,2646,91.9501,0.2956
1127,9,1111.63,959.68,48.02,2582,96.5143,0.3239
1128,9,1127.62,979.67,48.02,3396,97.2026,0.2838
1129,8,1129.62,1019.66,49.2,3176,92.7267,0.2582
1130,8,1132.54,1019.66,48.4,2472,89.6036,0.2943
1131,9,1120.03,969.68,48.4,3331,66.9769,0.3214
1132,9,1111.23,969.68,50.02,2309,82.6765,0.324
1133,8,1127.62,949.68,49.2,2696,89.8368,0.2838
1134,7,1137.62,949.68,47.26,2917,83.8533,0.3165
1135,7,1104.03,959.68,47.26,4115,88.3354,0.2899
1136,9,1050.03,899.7,50.44,2584,89.2028,0.3297
1137,9,1071.57,899.7,48.02,5016,83.7719,0.2872
1138,8,1122.83,939.69,43.81,8359,58.3563,0.285
1139,9,1151.28,939.69,43.81,5852,41.5072,0.2895
1140,7,1143.37,989.67,47.63,2505,87.3453,0.2915
1141,9,1132.12,989.67,49.2,2376,79.9663,0.2944
1142,8,1134.02,939.69,49.2,4253,94.9918,0.2822
1143,7,1126.02,1009.66,49.2,3420,95.0,0.2842
1144,8,1119.21,979.67,49.6,3212,82.3163,0.2978
1145,8,1127.22,959.68,49.6,2232,95.3405,0.2839
1146,9,1120.83,959.68,49.2,3558,74.9578,0.2855
1147,9,1112.55,949.68,48.4,3646,71.8047,0.2996
1148,8,1131.22,949.68,47.26,2486,76.9509,0.3182
1149,8,1127.62,989.67,47.26,3320,96.2651,0.2838
1150,9,1105.63,909.7,48.02,5473,64.1696,0.1447
1151,7,1116.03,909.7,46.17,5184,42.7083,0.3226
1152,7,1127.96,949.68,46.17,4343,57.4718,0.1478
1153,6,1153.37,949.68,46.17,2890,88.0623,0.1445
1154,7,1154.2,999.67,46.17,1451,90.9028,0.3249
1155,8,1127.96,969.68,49.2,3732,82.8242,0.2955
1156,9,1137.95,969.68,48.02,3396,88.6926,0.2929
1157,8,1142.42,999.67,48.02,3120,91.3782,0.2801
1158,10,928.4,369.88,49.6,10583,68.61,0.2432
1159,12,746.24,369.88,51.74,7815,52.9878,0.326
1160,10,756.85,659.78,67.44,848,53.5377,0.1391
1161,7,828.55,729.76,49.6,4431,30.0158,0.142
1162,8,1046.19,749.75,44.46,12438,53.1677,0.1471
1163,6,1122.03,849.72,44.46,11337,38.5199,0.3209
1164,6,1068.49,849.72,44.46,8454,73.0187,0.28800000000000003
1165,8,1142.12,959.68,46.17,2681,71.5405,0.2919
1166,7,1102.43,809.73,45.82,10626,62.9494,0.2177
1167,6,1114.43,809.73,45.82,7193,48.144,0.2513
1168,6,1145.03,869.71,47.26,1574,66.3914,0.2911
1169,8,960.71,779.74,48.8,4987,35.8332,0.2872
1170,11,829.15,629.79,39.23,14312,32.056999999999995,0.1378
1171,12,757.8,359.88,39.23,29882,52.7073,0.2199
1172,7,917.11,359.88,49.6,9148,50.7105,0.21100000000000002
