,A,B,C,G,R,X6,X8
112,22,744.5,379.87,72.31,1086,79.0055,0.2686
113,20,751.33,689.77,72.31,1054,91.0816,0.2452
114,19,761.06,689.77,70.61,1450,94.1379,0.242
115,19,782.44,699.77,66.69,2148,86.7318,0.2763
116,19,784.74,709.76,66.69,2429,85.7143,0.2478
117,18,817.67,709.76,60.02,4227,87.4379,0.1799
118,17,857.9,709.76,60.02,4621,95.0011,0.2473
119,20,825.9,719.76,62.52,3548,90.1071,0.2137
120,20,827.15,719.76,62.52,3101,92.2283,0.2073
121,18,840.9,719.76,61.24,4291,75.3204,0.2448
122,16,833.72,379.87,61.24,4609,91.0827,0.2399
123,19,852.44,719.76,61.24,3969,97.027,0.2133
124,20,843.15,389.87,62.52,4077,95.585,0.2033
125,20,858.2,729.76,61.88,4632,99.1796,0.2119
126,20,837.07,729.76,58.84,5013,72.6112,0.2108
127,17,835.9,709.76,56.09,6540,78.8226,0.2111
128,15,885.46,719.76,56.09,5786,76.1666,0.2396
129,16,871.27,729.76,57.71,4185,63.0346,0.2152
130,16,865.77,729.76,60.63,4097,76.5682,0.245
131,17,890.64,759.75,60.63,3442,96.8042,0.2456
132,18,891.89,779.74,59.43,4088,98.6546,0.2102
133,16,896.26,779.74,59.43,2869,97.5601,0.2441
134,15,869.71,379.87,58.84,3021,84.5415,0.2439
135,17,882.21,719.76,58.84,3254,81.5304,0.248
136,18,870.02,749.75,60.02,3413,69.5869,0.2514
137,18,841.48,369.88,58.27,5161,52.548,0.2447
138,18,880.33,749.75,58.27,4759,66.7577,0.213
139,17,893.76,389.87,58.27,4392,88.2514,0.2448
140,18,900.01,739.75,58.27,5247,92.7006,0.2431
141,18,876.37,739.75,57.16,4947,73.7821,0.242
142,18,886.98,719.76,57.16,5521,76.852,0.2392
143,19,903.14,729.76,60.02,4017,90.3162,0.2422
144,19,866.98,729.76,60.63,3665,86.5757,0.2097
145,20,864.56,729.76,58.84,4018,87.1578,0.2454
146,19,872.13,389.87,61.24,3148,96.1245,0.2432
147,20,874.71,719.76,60.63,3774,93.7467,0.2501
148,18,882.13,719.76,56.62,4691,91.3878,0.2405
149,17,906.26,739.75,56.62,4469,85.1421,0.2414
150,20,870.62,709.76,58.27,4867,82.9669,0.2088
151,19,865.01,379.87,57.16,4597,70.2632,0.272
152,18,882.83,729.76,57.16,4340,87.8341,0.2478
153,19,877.83,729.76,55.57,4950,70.9293,0.2136
154,19,869.4,729.76,55.57,4699,82.2303,0.2157
155,18,875.65,709.76,60.02,4678,91.8341,0.2141
156,18,871.9,709.76,60.63,3893,91.0866,0.2509
157,20,862.84,739.75,59.43,4897,78.7829,0.2535
158,17,864.12,729.76,59.43,5197,73.5039,0.2042
159,16,849.41,709.76,58.84,4484,76.8287,0.2141
160,8,878.77,689.77,56.62,6977,55.898,0.2489
161,7,916.15,789.74,59.43,2499,84.1937,0.2113
162,7,899.08,749.75,58.27,3563,85.6582,0.2086
163,7,800.02,659.78,58.27,4237,81.1187,0.25
164,7,745.8,639.79,63.85,1921,68.9745,0.1764
165,9,794.46,649.78,63.18,4157,80.611,0.2098
166,9,814.01,629.79,63.18,4581,79.8734,0.2457
167,9,770.55,609.8,63.85,4600,66.8261,0.2455
168,10,707.51,609.8,64.54,3475,47.1079,0.1413
169,10,741.86,639.79,64.54,2025,51.358000000000004,0.2483
170,9,810.02,699.77,63.85,2400,69.625,0.2469
171,8,848.2,709.76,60.02,2955,54.9915,0.2501
172,10,847.6,669.78,58.84,4741,48.1966,0.2145
173,8,850.3,669.78,58.84,5399,55.8252,0.2421
174,8,851.53,749.75,61.88,3224,85.1737,0.2491
175,7,860.02,759.75,61.24,3332,86.1645,0.2467
176,8,847.29,689.77,60.63,3763,93.6487,0.2504
177,8,844.87,689.77,60.63,4071,82.9526,0.2152
178,9,843.66,689.77,61.88,4027,81.0777,0.2514
179,9,853.83,689.77,61.88,3271,91.5316,0.2411
180,8,812.01,639.79,60.63,5701,43.9046,0.2463
181,9,800.88,639.79,60.63,6044,38.0708,0.2141
182,8,799.73,669.78,60.63,3714,48.5191,0.1429
183,8,828.84,639.79,60.02,7461,39.6596,0.1774
184,10,810.59,359.88,58.27,18529,85.1746,0.141
185,9,690.25,359.88,58.27,10219,46.0515,0.3105
186,8,660.46,589.8,63.85,3514,33.2385,0.2065
187,8,697.08,599.8,62.52,6177,32.1677,0.1749
188,10,770.3,519.83,41.11,14237,54.6112,0.3606
189,10,867.21,519.83,41.11,71015,66.9042,0.2162
190,9,902.28,739.75,60.63,3351,95.7028,0.3218
191,9,887.83,719.76,60.63,3661,89.2379,0.2816
192,9,840.33,659.78,60.02,4735,56.4731,0.2524
193,7,796.68,639.79,60.02,5486,56.4346,0.1395
194,9,778.12,639.79,63.18,4286,57.7928,0.1389
195,8,809.44,659.78,63.18,3985,67.1769,0.2118
196,9,814.01,689.77,63.18,4106,74.7686,0.2457
197,10,823.25,699.77,58.84,4192,59.4943,0.3573
198,8,867.21,699.77,58.84,4976,65.1527,0.1802
199,8,884.71,639.79,60.63,6349,56.3081,0.1766
200,8,885.64,639.79,57.71,6979,60.1376,0.2117
201,9,887.2,709.76,57.71,4674,74.5614,0.2113
202,7,866.59,709.76,57.71,3840,79.6615,0.2164
203,8,853.96,759.75,58.27,3212,71.2017,0.2484
204,8,863.35,759.75,58.27,3547,64.2797,0.2457
205,8,878.77,729.76,58.84,4523,79.15100000000001,0.2489
206,8,888.14,729.76,58.84,3612,78.959,0.2463
207,7,892.51,759.75,61.88,2759,90.1776,0.2451
208,8,892.51,799.73,61.88,1797,93.2109,0.2451
209,8,858.78,759.75,62.52,2751,90.9851,0.2547
210,8,856.08,759.75,62.52,3364,89.6254,0.2478
211,8,854.56,729.76,56.62,4866,57.8093,0.2482
212,8,870.96,729.76,56.62,5258,47.6227,0.2512
213,8,880.64,739.75,59.43,2677,72.0583,0.2484
214,8,886.89,719.76,59.43,4283,66.5188,0.2467
215,8,873.65,759.75,60.63,3330,87.8078,0.2428
216,8,863.65,759.75,61.24,3974,89.9346,0.2456
217,9,868.77,729.76,59.43,4807,67.0273,0.2518
218,10,863.77,729.76,59.43,5302,81.6862,0.2533
219,10,869.09,739.75,60.02,4013,84.1515,0.2517
220,8,877.52,749.75,61.88,3491,91.9221,0.2493
221,7,874.71,759.75,62.52,2942,97.6547,0.2501
222,8,865.02,739.75,62.52,3459,97.745,0.2529
223,9,866.59,729.76,56.62,3376,94.9941,0.2524
224,10,878.77,729.76,56.62,3401,73.743,0.2489
225,9,884.39,789.74,61.88,3061,85.691,0.2473
226,10,853.96,659.78,61.88,3996,64.9149,0.2484
227,10,848.81,659.78,61.24,3914,65.2274,0.2499
228,8,865.47,789.74,64.54,1068,97.3783,0.2451
229,8,863.46,789.74,65.24,814,97.1744,0.2533
230,9,853.35,789.74,65.96,723,97.0954,0.2486
231,8,850.01,789.74,65.96,915,86.2295,0.2422
232,8,806.87,369.88,60.63,6308,49.4451,0.3187
233,10,713.61,369.88,60.63,5969,57.6311,0.1797
234,11,691.96,609.8,75.97,969,51.7028,0.141
235,10,711.26,639.79,77.95,317,78.8644,0.3163
236,9,755.27,659.78,69.79,774,78.2946,0.3136
237,9,785.85,709.76,69.79,842,62.3515,0.1414
238,9,761.91,589.8,68.99,1184,50.3378,0.1774
239,11,715.76,479.84,50.02,10282,31.3849,0.1746
240,9,785.02,479.84,50.02,14667,28.5744,0.1769
241,8,915.36,739.75,53.59,5506,45.2234,0.2185
242,9,896.26,799.73,56.62,2808,61.3248,0.2441
243,9,866.68,699.77,62.52,1699,56.7393,0.1748
244,8,878.77,769.74,60.63,2155,49.42,0.2134
245,9,889.08,799.73,60.02,3117,39.0119,0.2109
246,9,848.5,659.78,56.62,6456,25.5886,0.1786
247,8,832.37,639.79,56.62,5356,32.8977,0.1413
248,8,875.77,639.79,61.88,1642,75.7613,0.2422
249,8,874.08,709.76,56.62,2383,47.2933,0.1788
250,6,908.41,739.75,56.62,3144,41.285,0.2131
251,7,976.92,759.75,54.07,3458,69.6356,0.1412
252,5,999.31,809.73,54.07,2747,59.7743,0.1787
253,7,956.92,809.73,55.57,2688,40.2158,0.1441
254,8,944.69,849.72,58.27,1740,23.2184,0.3176
255,7,926.02,729.76,58.84,1580,50.1899,0.14400000000000002
256,8,906.15,729.76,58.84,1924,59.8753,0.17800000000000002
257,9,787.31,589.8,58.84,2911,50.9447,0.1716
258,11,633.79,559.81,75.03,616,49.3506,0.1403
259,11,610.22,559.81,89.58,90,38.8889,0.2092
260,11,613.84,539.82,89.58,205,16.5854,0.1733
261,11,605.97,539.82,89.58,178,20.7865,0.2107
262,10,607.03,559.81,89.58,204,14.7059,0.2454
263,10,622.4,559.81,88.26,399,21.0526,0.2445
264,10,651.6,569.81,85.74,241,37.3444,0.2442
265,9,620.45,519.83,85.74,595,12.2689,0.1402
266,8,656.06,519.83,68.99,972,38.1687,0.1418
267,6,781.41,619.79,43.49,10278,62.4635,0.2133
268,6,834.13,619.79,43.49,9174,78.5045,0.2116
269,6,903.25,819.73,59.43,920,43.1522,0.1429
270,7,942.69,839.72,59.43,1068,51.2172,0.1414
271,7,970.37,879.71,56.62,562,62.8114,0.1777
272,7,920.04,689.77,56.62,3443,16.352,0.1499
273,7,904.39,689.77,55.06,4210,30.9501,0.1728
274,7,888.45,379.87,57.71,4513,73.3437,0.3517
275,10,840.93,379.87,57.71,17820,81.5544,0.3604
276,6,912.92,759.75,55.06,2501,61.7753,0.1413
277,6,920.66,829.72,55.06,1491,70.0201,0.1402
278,7,853.05,759.75,63.85,532,16.3534,0.1421
279,7,850.02,759.75,64.54,411,56.691,0.2139
280,7,859.71,779.74,64.54,952,81.6176,0.2115
281,7,843.84,789.74,65.24,624,83.4936,0.2091
282,8,855.78,799.73,60.02,877,48.3466,0.2125
283,8,881.58,799.73,60.02,1228,52.6059,0.1418
284,8,888.14,809.73,60.63,1153,52.9055,0.1407
285,6,902.28,809.73,57.16,1192,77.6846,0.2503
286,8,909.05,349.88,55.57,10280,85.4669,0.1419
287,7,949.35,349.88,55.57,9316,85.3693,0.1404
288,5,958.3,849.72,56.62,947,73.3897,0.2159
289,8,949.68,849.72,55.06,2337,50.4065,0.2542
290,8,977.26,869.71,48.4,3400,72.2647,0.247
291,8,961.75,799.73,48.4,4838,76.0232,0.2151
292,8,926.02,799.73,55.06,3650,68.7123,0.21600000000000003
293,6,929.69,809.73,55.06,3327,49.1734,0.251
294,7,968.3,849.72,55.06,3155,43.5182,0.2493
295,7,958.65,779.74,51.3,5773,36.4628,0.1799
296,7,956.68,469.84,51.3,11679,43.7709,0.1394
297,6,972.43,469.84,52.65,7301,61.471000000000004,0.1418
298,8,985.39,889.7,55.57,1922,81.4776,0.145
299,6,979.67,829.72,55.57,2111,32.7807,0.2552
300,8,1003.59,829.72,46.89,6890,32.2642,0.2491
301,8,974.85,859.71,46.89,6776,41.6913,0.1415
302,6,972.43,859.71,55.57,2781,60.8414,0.2837
303,8,987.53,809.73,53.12,2401,72.3449,0.217
304,7,981.1,809.73,48.4,8527,39.7092,0.2184
305,9,1006.45,839.72,48.4,8018,47.2312,0.2129
306,9,988.24,809.73,52.65,4491,34.3131,0.253
307,9,1001.59,809.73,51.3,4871,44.7136,0.2688
308,9,965.23,799.73,51.3,5688,66.4909,0.1919
309,6,960.71,799.73,53.12,3396,50.5006,0.2513
310,7,971.74,879.71,56.62,1392,70.6178,0.2484
311,7,947.02,869.71,57.16,1588,72.4811,0.2464
312,8,921.95,799.73,50.02,4092,57.0137,0.14
313,8,903.89,749.75,50.02,5755,43.3189,0.1428
314,8,940.69,709.76,51.74,5930,24.688000000000002,0.1417
315,9,759.21,549.82,56.62,2921,18.6922,0.2848
316,9,666.52,549.82,56.09,3220,27.9193,0.1745
317,10,786.13,579.81,51.74,9309,46.2885,0.1413
318,9,900.99,739.75,51.74,5369,64.7607,0.2506
319,9,912.28,799.73,56.62,3306,43.0127,0.1768
320,9,937.02,839.72,57.16,2615,48.566,0.1423
321,8,932.69,769.74,57.16,4948,10.1455,0.14300000000000002
322,9,921.03,769.74,56.09,4393,12.8841,0.18100000000000002
323,9,898.09,839.72,61.88,1028,66.2451,0.2155
324,8,911.03,839.72,60.02,1179,55.5556,0.2561
325,8,931.36,809.73,58.27,1446,60.3734,0.1432
326,8,940.02,799.73,56.09,2206,34.8595,0.2128
327,6,940.35,799.73,54.07,3600,41.7222,0.2836
328,5,953.35,829.72,54.07,2763,64.1694,0.1748
329,8,954.16,819.73,54.07,3484,24.9426,0.2168
330,9,932.02,819.73,54.07,2253,39.9024,0.1788
331,9,921.69,779.74,51.3,2841,75.5368,0.1447
332,8,910.99,749.75,51.3,1880,65.6915,0.3541
333,11,766.23,599.8,58.84,3095,25.105,0.1764
334,12,664.89,599.8,78.97,133,50.3759,0.2099
335,11,708.3,629.79,70.61,1259,15.2502,0.1377
336,7,771.36,689.77,69.79,717,35.8438,0.1402
337,6,810.59,769.74,68.2,491,76.5784,0.2115
338,9,887.45,779.74,58.84,697,54.8063,0.2181
339,10,945.2,839.72,57.71,1079,58.8508,0.2189
340,9,847.07,679.77,57.71,2714,43.9573,0.2431
341,8,802.51,679.77,66.69,1486,37.214,0.3461
342,9,853.96,759.75,63.85,817,50.6732,0.3549
343,8,896.48,819.73,58.84,886,59.4808,0.3598
344,8,923.36,829.72,55.57,1465,49.4881,0.2166
345,6,957.01,829.72,53.12,2469,36.614000000000004,0.1393
346,7,998.24,839.72,53.12,2808,9.8647,0.2147
347,5,1018.18,909.7,54.56,1008,41.9643,0.2546
348,6,986.91,899.7,56.62,1489,22.4312,0.1398
349,6,949.35,839.72,56.62,1361,32.5496,0.2107
350,6,943.69,839.72,58.84,919,41.2405,0.1413
351,5,887.2,759.75,60.63,949,27.0811,0.2113
352,6,855.96,719.76,52.65,2905,49.8795,0.146
353,6,870.02,719.76,52.65,3936,60.5945,0.2874
354,6,827.15,739.75,61.88,745,48.5906,0.2073
355,7,827.67,739.75,61.88,852,57.9812,0.1777
356,7,824.73,739.75,63.85,1260,53.0952,0.1427
357,6,840.9,739.75,65.24,1165,53.4764,0.2448
358,7,826.49,709.76,63.18,1106,63.7432,0.1423
359,8,813.44,729.76,63.18,1378,46.1538,0.1405
360,6,842.75,769.74,62.52,1518,37.0883,0.1438
361,7,883.14,809.73,61.24,1094,70.2011,0.1769
362,8,896.8,809.73,61.24,1366,79.063,0.1439
363,6,914.03,799.73,58.84,1944,84.2593,0.1823
364,8,923.03,799.73,55.57,3298,38.3263,0.2528
365,7,933.83,809.73,55.57,2702,37.0096,0.2585
366,5,941.02,809.73,57.16,2659,30.5378,0.248
367,8,956.23,829.72,57.16,3241,75.1003,0.2164
368,8,931.69,829.72,58.27,1406,75.2489,0.1789
369,8,936.35,859.71,55.57,1931,79.1818,0.17800000000000002
370,6,919.69,769.74,55.57,3717,59.8332,0.1754
371,7,919.05,769.74,52.65,3758,38.2384,0.1404
372,9,968.64,709.76,48.4,7670,47.1578,0.1424
373,9,810.94,369.88,48.4,13859,47.2184,0.2242
374,8,703.52,509.83,48.02,16769,76.8382,0.2488
375,8,796.96,509.83,58.27,11255,55.4154,0.244
376,8,940.35,509.83,56.09,5705,97.844,0.1418
377,8,974.5,889.7,56.09,1804,69.5122,0.2123
378,6,929.69,799.73,57.16,2427,24.1038,0.2868
379,6,911.03,799.73,58.27,1836,48.8562,0.2195
380,8,923.56,799.73,58.27,3705,79.2713,0.2096
381,7,906.79,799.73,58.27,2270,70.5727,0.2134
382,8,915.5,829.72,52.19,3117,58.9028,0.2114
383,8,919.69,839.72,58.84,1453,77.9766,0.1754
384,7,933.02,829.72,57.16,1474,65.3324,0.2858
385,7,930.69,829.72,57.71,2757,35.4008,0.2507
386,8,824.73,319.89,57.71,10191,56.6676,0.2496
387,9,750.8,319.89,58.27,8723,59.8877,0.2103
388,8,731.81,369.88,59.43,8796,25.3752,0.1752
389,8,776.13,369.88,45.82,12159,56.3369,0.2147
390,7,870.96,619.79,45.82,7767,80.63600000000001,0.3229
391,8,861.53,499.83,56.09,4244,27.7568,0.1407
392,10,810.3,499.83,59.43,2607,51.4384,0.2116
393,9,797.79,549.82,63.18,1918,37.122,0.3482
394,8,817.44,549.82,63.18,2266,50.4413,0.1398
395,10,831.49,789.74,68.99,219,49.7717,0.3537
396,9,820.61,759.75,68.99,317,79.8107,0.3226
397,9,817.37,759.75,68.99,362,93.0939,0.2879
398,9,828.84,779.74,68.99,365,72.8767,0.1419
399,9,842.37,779.74,63.85,784,94.5153,0.1746
400,8,870.02,799.73,59.43,1594,63.0489,0.1437
401,9,883.14,739.75,55.57,3515,44.2105,0.1415
402,8,861.83,689.77,54.56,6494,23.7604,0.1758
403,8,854.42,689.77,54.56,4279,34.8212,0.1377
404,7,850.63,769.74,55.57,3224,47.4256,0.1425
405,7,889.06,769.74,55.57,2880,66.8056,0.1451
406,7,891.27,819.73,58.27,654,85.47399999999999,0.2805
407,9,877.59,819.73,61.24,780,58.2051,0.3108
408,8,887.12,809.73,61.24,646,67.8019,0.2909
409,5,861.23,609.8,43.18,15007,72.4995,0.1407
410,10,732.58,339.89,43.18,17777,50.5935,0.245
411,8,721.81,339.89,65.96,2556,40.6886,0.1421
412,7,832.08,689.77,61.88,1620,44.5679,0.2121
413,8,887.83,769.74,61.24,1261,70.1031,0.1408
414,8,897.83,819.73,61.24,851,70.5053,0.2785
415,8,882.61,809.73,59.43,1533,58.1866,0.2924
416,9,917.69,809.73,55.57,2589,64.5037,0.2179
417,8,934.52,859.71,57.16,1709,62.5512,0.2583
418,6,901.31,789.74,60.63,1001,60.04,0.2505
419,5,893.57,789.74,58.84,2701,28.8412,0.1805
420,7,921.31,789.74,59.43,1540,55.3896,0.1401
421,8,934.69,819.73,58.27,1834,20.1745,0.2853
422,8,903.57,819.73,58.27,1769,62.2951,0.2142
423,8,886.27,809.73,57.71,2086,55.3691,0.2116
424,8,844.42,619.79,57.71,4289,51.1541,0.1742
425,8,829.72,619.79,58.84,2217,49.9774,0.1461
426,8,927.02,729.76,55.06,2632,21.0486,0.2157
427,7,949.35,809.73,53.12,5135,69.0944,0.1404
428,7,984.84,809.73,50.86,7998,85.2088,0.1751
429,6,993.95,849.72,50.86,4130,86.8039,0.1797
430,7,963.82,889.7,53.12,2353,61.7085,0.1431
431,7,942.69,869.71,57.16,1836,92.0479,0.2475
432,7,941.69,829.72,54.56,2920,75.4795,0.177
433,7,959.34,829.72,54.07,3101,36.8591,0.1797
434,8,949.34,869.71,56.62,2403,30.2122,0.1816
435,8,937.35,839.72,56.09,3881,29.142,0.1422
436,7,975.19,839.72,54.07,4559,28.186,0.2475
437,7,1008.95,889.7,53.59,2071,68.7108,0.2478
438,7,975.19,729.76,48.02,8070,28.2032,0.1414
439,7,924.03,729.76,48.02,8622,33.3681,0.1804
440,8,773.8,539.82,53.12,4925,14.4365,0.2096
441,9,692.21,539.82,71.45,1766,15.7984,0.1762
442,9,788.07,599.8,63.18,1897,59.515,0.2467
443,8,899.38,739.75,56.09,2737,58.8966,0.2152
444,8,996.45,869.71,53.12,3202,77.3891,0.2151
445,9,1006.81,889.7,53.12,4358,55.4153,0.2483
446,8,951.06,779.74,54.07,3296,48.301,0.145
447,8,928.72,709.76,46.53,11777,45.0115,0.1389
448,10,820.3,639.79,46.53,9643,53.4481,0.2786
449,9,689.28,539.82,60.63,6067,89.6984,0.2123
450,8,749.22,539.82,48.8,12936,38.2267,0.1405
451,8,969.68,549.82,48.8,14527,49.5216,0.2134
452,7,1000.02,899.7,50.86,3601,60.0389,0.1786
453,8,963.35,769.74,51.74,4325,76.0231,0.17300000000000001
454,8,930.36,769.74,51.74,5051,63.2944,0.215
455,9,812.01,569.81,54.07,9019,72.9904,0.1407
456,9,766.77,569.81,54.07,7060,71.813,0.141
457,7,867.89,589.8,49.2,10363,44.7747,0.1397
458,7,896.8,709.76,48.4,11865,59.1319,0.1439
459,8,939.69,689.77,48.4,9396,31.0238,0.1774
460,8,958.65,829.72,51.74,4397,45.6448,0.2518
461,7,927.36,649.78,53.12,10300,37.1262,0.2157
462,8,863.05,649.78,51.74,15197,22.7084,0.316
463,7,851.53,659.78,51.74,9724,28.733,0.1779
464,7,941.02,719.76,52.65,4076,84.053,0.2125
465,8,956.58,859.71,52.65,2466,90.3487,0.2163
466,8,956.58,879.71,57.71,941,86.1849,0.2163
467,7,970.71,809.73,53.59,2116,83.9792,0.2487
468,6,845.31,589.8,46.89,8920,79.5404,0.2436
469,6,817.37,589.8,46.89,12808,24.1646,0.1799
470,7,943.69,599.8,50.44,7905,52.7767,0.1413
471,7,989.31,819.73,50.44,5545,68.8548,0.1805
472,8,920.02,719.76,47.63,7095,64.8203,0.1403
473,9,838.25,649.78,38.23,23426,71.5829,0.1404
474,9,756.23,369.88,38.23,25382,54.6962,0.3217
475,9,718.44,369.88,55.57,18314,22.1907,0.2198
476,8,1137.95,999.67,46.53,3309,43.3364,0.2563
477,8,1150.45,999.67,46.17,4870,62.8953,0.2535
478,8,1171.28,1039.65,46.17,4637,86.6509,0.249
479,8,1178.36,1049.65,46.53,3157,90.2756,0.2829
480,8,1187.43,989.67,46.53,3254,52.6736,0.2929
481,7,1193.52,989.67,43.18,5125,54.5366,0.2914
482,7,1216.12,969.68,42.87,8533,70.1863,0.1788
483,6,1200.03,969.68,42.87,5932,73.8368,0.1449
